Event.ID	Disease	Serotype	Diagnosis.source	Diagnosis.status	Animal.type	Species	Observation.date..dd.mm.yyyy.	Report.date..dd.mm.yyyy.	Humans.affected	Human.deaths	Latitude	Longitude	Original location	Country	Admin. level 1	Locality	Country OSM ID	Admin. level 1 OSM ID	Locality OSM ID
306528	Influenza - Avian	H5N1 HPAI	OIE	Confirmed	Domestic	Unspecified Bird	24/10/2021	10/11/2021			-25.9	28							
305910	Influenza - Avian	H5N1 HPAI	OIE	Confirmed	Domestic	Unspecified Bird	04/10/2021	28/10/2021			-28.4	32.1							
305909	Influenza - Avian	H5N1 HPAI	OIE	Confirmed	Domestic	Unspecified Bird	01/10/2021	28/10/2021			-28.5	29.8							
304238	Influenza - Avian	H5N1 HPAI	OIE	Confirmed	Wild	Cape Cormorant (Phalacrocorax Capensis)	13/09/2021	29/09/2021			-34.1	18.4							
303545	Influenza - Avian	H5N1 HPAI	OIE	Confirmed	Domestic	Unspecified Bird	20/08/2021	17/09/2021			55.612552	60.924996							
301635	Influenza - Avian	H5N1 HPAI	OIE	Confirmed	Domestic	Unspecified Bird	16/08/2021	25/08/2021			-26	27.9							
311289	Influenza - Avian	H5N1 HPAI	OIE	Confirmed	Wild	Cormorant	09/06/2021	14/01/2022			-33.915	18.386							
300532	Influenza - Avian	H5N8 HPAI	OIE	Confirmed	Domestic	Unspecified Bird	06/06/2021	22/08/2021			22.686	106.2501							
299213	Influenza - Avian	H5N1 HPAI	OIE	Confirmed	Domestic	Unspecified Bird	27/05/2021	03/08/2021			-33.6	18.9							
299914	Influenza - Avian	H5N1 HPAI	OIE	Confirmed	Domestic	Unspecified Bird	19/05/2021	18/08/2021			-33.6	18.9							
301642	Influenza - Avian	H5N1 HPAI	OIE	Confirmed	Wild	Anatidae (Unidentified):Anatidae (Incognita)(Anatidae)	17/05/2021	25/08/2021			-25.6	28.3							
294830	Influenza - Avian	H5N8 HPAI	OIE	Confirmed	Domestic	Unspecified Bird	27/04/2021	05/05/2021			54.879503	25.131123							
294828	Influenza - Avian	H5N8 HPAI	OIE	Confirmed	Domestic	Unspecified Bird	23/04/2021	05/05/2021			54.57411	25.52769							
