Pathogen NCBI taxonomy ID,Pathogen species,Pathogen serotype,Pathogen isolate or strain,Host species Latin name,Host species NCBI taxonomy ID,Date observed,Geo text original
11082,West Nile virus,,CHVir-8960/2020,Homo sapiens,9606,2020-08-01,Germany
11082,West Nile virus,,pt1_amplicon2,Homo sapiens,9606,2020-10-01,Netherlands
11082,West Nile virus,,pt1_amplicon1,Homo sapiens,9606,2020-10-01,Netherlands
11082,West Nile virus,,LE6/2020/Leipzig/Germany,Homo sapiens,9606,2020-08-01,Germany
11082,West Nile virus,,LE5/2020/Leipzig/Germany,Homo sapiens,9606,2020-08-01,Germany
11082,West Nile virus,,LE4/2020/Leipzig/Germany,Homo sapiens,9606,2020-08-01,Germany
11082,West Nile virus,,LE3/2020/Leipzig/Germany,Homo sapiens,9606,2020-08-01,Germany
11082,West Nile virus,,LE2/2020/Leipzig/Germany,Homo sapiens,9606,2020-08-01,Germany
11082,West Nile virus,,WNV-2950,Homo sapiens,9606,2018-08-23,Slovenia
11082,West Nile virus,,Ko169-2018,mosquito,,2018-01-01,Slovenia
11082,West Nile virus,,7025/France/2018,Accipiter gentilis,8957,2018-10-06,France
11082,West Nile virus,,6125/France/2018,Buteo buteo,30397,2018-09-08,France
11082,West Nile virus,,Akela/France/2015,Equus caballus,9796,2015-10-03,France
11082,West Nile virus,,17350245_S35,mosquito,,2017-01-01,USA
11082,West Nile virus,,16290096_S25,mosquito,,2016-01-01,USA
11082,West Nile virus,,18290606_S52,mosquito,,2018-01-01,USA
11082,West Nile virus,,18350125_S43,mosquito,,2018-01-01,USA
11082,West Nile virus,,18590102_S42,mosquito,,2018-01-01,USA
11082,West Nile virus,,161412207_S27,mosquito,,2016-01-01,USA
11082,West Nile virus,,18350203_S48,mosquito,,2018-01-01,USA
11082,West Nile virus,,17141199_S36,mosquito,,2017-01-01,USA
11082,West Nile virus,,17290251_S34,mosquito,,2017-01-01,USA
11082,West Nile virus,,16511185_S29,mosquito,,2016-01-01,USA
11082,West Nile virus,,18040084_S47,mosquito,,2018-01-01,USA
11082,West Nile virus,,15350181_S22,mosquito,,2013-01-01,USA
11082,West Nile virus,,13590318_S9,mosquito,,2013-01-01,USA
11082,West Nile virus,,18090047_S41,mosquito,,2018-01-01,USA
11082,West Nile virus,,13290510_S12,mosquito,,2013-01-01,USA
11082,West Nile virus,,16350279_S30,mosquito,,2016-01-01,USA
11082,West Nile virus,,18090052_S45,mosquito,,2018-01-01,USA
11082,West Nile virus,,18590171_S50,mosquito,,2018-01-01,USA
11082,West Nile virus,,18590237_S51,mosquito,,2018-01-01,USA
11082,West Nile virus,,15511404_S24,mosquito,,2015-01-01,USA
11082,West Nile virus,,18330546_S49,mosquito,,2016-01-01,USA
11082,West Nile virus,,16430257_S26,mosquito,,2018-01-01,USA
11082,West Nile virus,,18511343_S53,mosquito,,2018-01-01,USA
11082,West Nile virus,,18090033_S40,mosquito,,2018-01-01,USA
11082,West Nile virus,,17330731_S38,mosquito,,2017-01-01,USA
11082,West Nile virus,,18040074_S44,mosquito,,2018-01-01,USA
11082,West Nile virus,,17590282_S37,mosquito,,2017-01-01,USA
11082,West Nile virus,,16350245_S62,mosquito,,2016-01-01,USA
11082,West Nile virus,,14430681_S18,mosquito,,2014-01-01,USA
11082,West Nile virus,,13430395_S10,mosquito,,2013-01-01,USA
11082,West Nile virus,,18141205_S46,mosquito,,2018-01-01,USA
11082,West Nile virus,,13330600_S13,mosquito,,2013-01-01,USA
11082,West Nile virus,,15141361_S21,mosquito,,2015-01-01,USA
11082,West Nile virus,,17330471_S33,mosquito,,2017-01-01,USA
11082,West Nile virus,,14290471_S17,mosquito,,2014-01-01,USA
11082,West Nile virus,,14430021_S16,mosquito,,2014-01-01,USA
11082,West Nile virus,,17430080_S31,mosquito,,2017-01-01,USA
11082,West Nile virus,,18510340_S20,mosquito,,2018-01-01,USA
11082,West Nile virus,,15290167_S19,mosquito,,2015-01-01,USA
11082,West Nile virus,,17290170_S32,mosquito,,2017-01-01,USA
11082,West Nile virus,,14330640_S64,mosquito,,2014-01-01,USA
11082,West Nile virus,,15590142_S20,mosquito,,2015-01-01,USA
11082,West Nile virus,,15141416_S23,mosquito,,2015-01-01,USA
11082,West Nile virus,,13290588_S14,mosquito,,2013-01-01,USA
11082,West Nile virus,,13141565_S15,mosquito,,2013-01-01,USA
11082,West Nile virus,,Mosquito_pool_25,Culex,,2020-08-01,Netherlands
11082,West Nile virus,,Mosquito_pool_19,Culex,,2020-09-01,Netherlands
11082,West Nile virus,,Volgograd625/18,Homo sapiens,9606,2018-01-01,Russia: Volgograd region
11082,West Nile virus,,Volgograd623/18,Homo sapiens,9606,2018-01-01,Russia: Volgograd region
11082,West Nile virus,,Volgograd594/18,Homo sapiens,9606,2018-01-01,Russia: Volgograd region
11082,West Nile virus,,Volgograd592/18,Homo sapiens,9606,2018-01-01,Russia: Volgograd region
11082,West Nile virus,,Volgograd652/18,Culex modestus,,2018-01-01,Russia: Volgograd region
11082,West Nile virus,,Volgograd627/18,Culex modestus,,2018-01-01,Russia: Volgograd region
11082,West Nile virus,,WNVD830/2018/SK,Culex pipiens,,2018-01-01,Slovakia
11082,West Nile virus,,WNVD795/2018/SK,Culex pipiens,,2018-01-01,Slovakia
11082,West Nile virus,,WNVD756/2018/SK,Culex pipiens,,2018-01-01,Slovakia
