0,collection_date,country,host,isolate,strain
KF880805.1,2012-01-27 00:00:00,Russia: Khabarovsk region,Ixodes persulcatus Schulze,,1230
KF951037.1,1966-01-27 00:00:00,Russia,Homo sapiens,,4072
KJ000002.1,1951-01-27 00:00:00,Russia: Karelia,Homo sapiens,,Absettarov
KJ626343.1,1986-01-27 00:00:00,"USSR: Kyrgyzstan, Issyk-Kul Lake",Ixodes persulcatus,,Buzuuchuk
KJ633033.1,1984-01-27 00:00:00,Russia: Irkutsk region,Clethrionomys rufocanus,,886-84
KJ701416.1,1986-01-27 00:00:00,Russia: Novosibirsk,Ixodes persulcatus,,Lesopark 11
KJ739729.1,2008-01-27 00:00:00,Russia: Novosibirsk,Homo sapiens,blood,Novosibirsk-L2008
KJ739730.1,2008-01-27 00:00:00,Russia: Novosibirsk,Ixodes persulcatus,,Tomsk-K6
KJ739731.1,2006-01-27 00:00:00,Russia: Tomsk,Sorex araneus,,Tomsk-M83
KJ744034.1,1978-01-27 00:00:00,"Russia: Khabarovsk region, nothern coast of Petropavlovsk lake",Aedes vexans nipponii (mosquito),,Malishevo
KJ755186.1,2012-01-27 00:00:00,China,Ixodes persulcatus,,WH2012
KJ914682.1,2008-04-15 00:00:00,Russia: Tomsk region,Pica pica,,Tomsk-PT14
KJ914683.1,2008-07-10 00:00:00,Russia: Tomsk region,Microtus arvalis,,Tomsk-M202
KM019545.1,2006-07-15 00:00:00,Russia: Tomsk region,Acrocephalus dumetorum,,Tomsk-PT122
KM019546.1,2006-07-15 00:00:00,Russia: Tomsk region,Acrocephalus dumetorum,,Tomsk-PT12
KP331441.1,2008-01-27 00:00:00,Russia: Eastern Siberia,Ixodes persulcatus,,IrkutskBR_99-08
KP331442.1,2009-01-27 00:00:00,Russia: Eastern Siberia,Ixodes persulcatus,,IrkutskBR_1434-09
KP331443.1,2009-01-27 00:00:00,Russia,Ixodes persulcatus,,IrkutskBR_1456-09
KP345889.1,2014-06-26 00:00:00,China,Ixodes scapularis,Sib-XJ-X5,
KP644245.1,2013-01-27 00:00:00,Russia: Novosibirsk,Homo sapiens,,C11-13
KP844724.1,2012-06-18 00:00:00,"Russia: Far East, Khabarovsk region",Ixodes persulcatus Schulze,,Chichagovka 1222
KP844725.1,2012-06-18 00:00:00,"Russia: Far East, Khabarovsk region",Ixodes persulcatus Schulze,,Chichagovka 1223
KP844726.1,2013-06-15 00:00:00,"Russia: Far East, the Jewish Autonomous Region, Birobidzhan",Ixodes persulcatus Schulze,,Birobidzhan 1354
KP844727.1,2013-06-16 00:00:00,"Russia: Far East, the Jewish Autonomous Region, Birobidzhan",Ixodes persulcatus Schulze,,Birobidzhan 1357
KP869172.1,1985-08-05 00:00:00,"Russia: Far East, Khabarovsk region, Nikolaevsk",Ixodes persulcatus Schulze,,Nikolaevsk 855
KP938507.1,2010-01-27 00:00:00,Russia: Eastern Siberia,Sorex sp.,,Sorex 18-10
KT001070.1,2013-06-09 00:00:00,"Russia: Far East, Khabarovsk territory",Ixodes persulcatus Schulze,,Khekhtzir 9-13
KT001071.1,2013-06-09 00:00:00,"Russia: Far East, Khabarovsk territory",Ixodes persulcatus Schulze,,Khekhtzir 10-13
KT001072.1,2013-06-09 00:00:00,"Russia: Far East, Khabarovsk territory",Ixodes persulcatus Schulze,,Khekhtzir 17-13
KT001073.1,2014-09-19 00:00:00,"Russia: Far East, Khabarovsk territory, Lazo region",Aedes vexans,,Lazo MP36
KT069219.1,1958-01-27 00:00:00,Russia,Ixodes persulcatus,Primorye-1001,
KT224352.1,1984-01-27 00:00:00,Russia: Arkhangelsk region,Myodes glareolus (bank vole),,LEIV-13652Ar
KT224353.1,1984-01-27 00:00:00,Russia: Altai,Ixodes persulcatus (tick),,LEIV-10133Al
KT224357.1,1959-01-27 00:00:00,Finland,Ixodes ricinus (ticks),,Kumlinge
KT321430.1,2014-01-27 00:00:00,Russia,Homo sapiens,,Konst-14
KU761567.1,1958-01-27 00:00:00,Russia,Homo sapiens,Golubnichiy,
KU761568.1,1959-01-27 00:00:00,Russia,Mus sp.,Primorye-512,
KU761569.1,1960-01-27 00:00:00,Russia,Homo sapiens,Primorye-696,
KU761571.1,1958-01-27 00:00:00,Russia,Ixodes persulcatus,Primorye-1001,
KU761572.1,1958-01-27 00:00:00,Russia,Homo sapiens,Primorye-1035,
KU761573.1,1958-01-27 00:00:00,Russia,Ixodes persulcatus,Primorye-1056,
KU761574.1,1958-01-27 00:00:00,Russia,Homo sapiens,Primorye-1284,
KU761575.1,1958-01-27 00:00:00,Russia,Homo sapiens,Primorye-1285,
KU761576.1,1937-01-27 00:00:00,Russia: Primorskiy kray,Homo sapiens,Sofjin-1953,
KU884607.1,2015-05-27 00:00:00,Germany,sheep (Ovis aries),Leila-BH95/15,
KU885457.1,1951-01-27 00:00:00,Russia: Leningrad region,Homo sapiens,,Absettarov
KX268728.1,2011-01-27 00:00:00,Germany,Ixodidae,,MucAr-HB-171/11
KY069119.1,1998-01-27 00:00:00,"Russia: Eastern Siberia, Irkutsk region",Homo sapiens,,1G-98
KY069120.1,1971-01-27 00:00:00,"Russia: Eastern Siberia, Irkutsk region",Spermophilus undulatus,,118-71
KY069121.1,1974-01-27 00:00:00,"Russia: Eastern Siberia, Irkutsk region",Ixodes persulcatus,,163-74
KY069122.1,1974-01-27 00:00:00,"Russia: Eastern Siberia, Irkutsk region",Ixodes persulcatus,,262-74
KY069123.1,1971-01-27 00:00:00,"Russia: Eastern Siberia, Irkutsk region",Ixodes persulcatus,,126-71
KY069124.1,1986-01-27 00:00:00,"Russia: Western Siberia, Altai region",Ixodes persulcatus,,Zmeinogorsk-1
KY069125.1,1986-01-27 00:00:00,"Russia: Western Siberia, Altai region",Ixodes persulcatus,,Zmeinogorsk-5
KY069126.1,1986-01-27 00:00:00,"Russia: Western Siberia, Altai region",Ixodes persulcatus,,Zmeinogorsk-9
LC171402.1,2015-09-04 00:00:00,Netherlands,Ixodes ricinus,,NL
LC440459.1,2017-01-27 00:00:00,Japan: Sapporo,Ixodes ovatus,,Sapporo-17-Io1
MF374487.1,1995-01-27 00:00:00,Japan,Homo sapiens,,Oshima 5.10
MF398818.1,2011-06-27 00:00:00,China,Dermacentor silvarum,JLCB11-08,
